id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
16574-2306021515--31915-0-9828-2306021755,16574-2306021515--31915-0-9828-2306021755,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T15:15:00,2023-06-02T17:55:00,Ryanair,176,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,168.6
13465-2306021325--32480-0-9828-2306021605,13465-2306021325--32480-0-9828-2306021605,London City,LCY,Berlin Brandenburg,BER,100,2023-06-02T13:25:00,2023-06-02T16:05:00,British Airways,8493,travelup,False,available,3.53,3.668748,4.313396,4.864888,3.84624,2.436672,146.43
13542-2306020640--32356-0-9828-2306020940,13542-2306020640--32356-0-9828-2306020940,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T06:40:00,2023-06-02T09:40:00,easyJet,8629,easyJet,True,available,4.54,4.843132,4.725236,5.0,4.70932,3.88048,66.99
13542-2306020845--32356-0-9828-2306021145,13542-2306020845--32356-0-9828-2306021145,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T08:45:00,2023-06-02T11:45:00,easyJet,8623,easyJet,True,available,4.54,4.843132,4.725236,5.0,4.70932,3.88048,125.99
13554-2306021640--32480-0-9828-2306021935,13554-2306021640--32480-0-9828-2306021935,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T16:40:00,2023-06-02T19:35:00,British Airways,986,travelup,False,available,3.53,3.668748,4.313396,4.864888,3.84624,2.436672,217.26
13465-2306020825--32480-0-9828-2306021110,13465-2306020825--32480-0-9828-2306021110,London City,LCY,Berlin Brandenburg,BER,105,2023-06-02T08:25:00,2023-06-02T11:10:00,British Airways,8491,travelup,False,available,3.53,3.668748,4.313396,4.864888,3.84624,2.436672,136.43
13554-2306020650--32480-0-9828-2306020940,13554-2306020650--32480-0-9828-2306020940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-02T06:50:00,2023-06-02T09:40:00,British Airways,990,travelup,False,available,3.53,3.668748,4.313396,4.864888,3.84624,2.436672,146.58
16574-2306021035--31915-0-9828-2306021315,16574-2306021035--31915-0-9828-2306021315,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T10:35:00,2023-06-02T13:15:00,Ryanair,147,Trip.com,False,available,3.96,3.907176,4.494132,4.991332,4.354064,3.08778,94.7
13554-2306021310--32480-0-9828-2306021600,13554-2306021310--32480-0-9828-2306021600,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-02T13:10:00,2023-06-02T16:00:00,British Airways,984,eDreams,False,available,2.53,2.728716,3.747564,4.93366,2.5529,1.143896,225.59
13554-2306021030--32480-0-9828-2306021325,13554-2306021030--32480-0-9828-2306021325,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T10:30:00,2023-06-02T13:25:00,British Airways,992,travelup,False,available,3.53,3.668748,4.313396,4.864888,3.84624,2.436672,178.49
