id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
16574-2306021550--31915-0-13577-2306021840,16574-2306021550--31915-0-13577-2306021840,London Stansted,STN,Lisbon,LIS,170,2023-06-02T15:50:00,2023-06-02T18:40:00,Ryanair,1884,Trip.com,False,available,3.76,3.693492,4.28176,4.995056,4.036252,3.042212,126.0
13554-2306021950--31781-0-13577-2306022230,13554-2306021950--31781-0-13577-2306022230,London Heathrow,LHR,Lisbon,LIS,160,2023-06-02T19:50:00,2023-06-02T22:30:00,TAP Air Portugal,1369,Mytrip,False,available,3.1,3.691652,3.805864,4.853748,3.340004,1.702416,149.99
16574-2306021725--31915-0-13577-2306022015,16574-2306021725--31915-0-13577-2306022015,London Stansted,STN,Lisbon,LIS,170,2023-06-02T17:25:00,2023-06-02T20:15:00,Ryanair,1886,Trip.com,False,available,3.76,3.693492,4.28176,4.995056,4.036252,3.042212,146.0
13542-2306021035--31781-0-13577-2306021320,13542-2306021035--31781-0-13577-2306021320,London Gatwick,LGW,Lisbon,LIS,165,2023-06-02T10:35:00,2023-06-02T13:20:00,TAP Air Portugal,1339,BYOjet UK,False,,,,,,,,363.69
13554-2306021345--31781-0-13577-2306021625,13554-2306021345--31781-0-13577-2306021625,London Heathrow,LHR,Lisbon,LIS,160,2023-06-02T13:45:00,2023-06-02T16:25:00,TAP Air Portugal,1359,Mytrip,False,available,3.1,3.691652,3.805864,4.853748,3.340004,1.702416,255.99
16574-2306021425--31915-0-13577-2306021710,16574-2306021425--31915-0-13577-2306021710,London Stansted,STN,Lisbon,LIS,165,2023-06-02T14:25:00,2023-06-02T17:10:00,Ryanair,1882,Trip.com,False,available,3.76,3.693492,4.28176,4.995056,4.036252,3.042212,153.0
13771-2306021225--32356-0-13577-2306021515,13771-2306021225--32356-0-13577-2306021515,London Luton,LTN,Lisbon,LIS,170,2023-06-02T12:25:00,2023-06-02T15:15:00,easyJet,2461,easyJet,True,available,4.37,4.757652,4.55444,5.0,4.544828,3.635168,119.99
13542-2306021710--32356-0-13577-2306022000,13542-2306021710--32356-0-13577-2306022000,London Gatwick,LGW,Lisbon,LIS,170,2023-06-02T17:10:00,2023-06-02T20:00:00,easyJet,8517,easyJet,True,available,4.37,4.757652,4.55444,5.0,4.544828,3.635168,287.99
16574-2306020725--31915-0-13577-2306021015,16574-2306020725--31915-0-13577-2306021015,London Stansted,STN,Lisbon,LIS,170,2023-06-02T07:25:00,2023-06-02T10:15:00,Ryanair,1080,Trip.com,False,available,3.76,3.693492,4.28176,4.995056,4.036252,3.042212,123.9
13554-2306021510--32480-0-13577-2306021755,13554-2306021510--32480-0-13577-2306021755,London Heathrow,LHR,Lisbon,LIS,165,2023-06-02T15:10:00,2023-06-02T17:55:00,British Airways,502,Trip.com,False,available,3.76,3.693492,4.28176,4.995056,4.036252,3.042212,228.1
